,Year,Resource,Country,Recycling Rate,Recycling Scenario,GeoPolRisk,HHI,Weighted Trade AVerage
0,2002,Manganese,Australia,0,0,0.0009300219226393961,0.119,0.00781531027428064
1,2003,Manganese,Australia,0,0,0.0009166637002006221,0.113,0.008112068143368336
2,2004,Manganese,Australia,0,0,0.0011803941926919548,0.116,0.010175812005965127
3,2005,Manganese,Australia,0,0,0.0010863521863994055,0.129,0.008421334778289965
4,2006,Manganese,Australia,0,0,0.00044118497031038153,0.136,0.003244007134635158
5,2007,Manganese,Australia,0,0,0.0006606477885790366,0.153,0.004317959402477364
6,2008,Manganese,Australia,0,0,0.0008276661863239877,0.152,0.005445172278447288
7,2009,Manganese,Australia,0,0,1.7647359378675218e-05,0.173,0.00010200785768020358
8,2010,Manganese,Australia,0,0,0.0006965786309319612,0.15,0.004643857539546408
9,2011,Manganese,Australia,0,0,0.0004964143053562465,0.16,0.0031025894084765406
10,2012,Manganese,Australia,0,0,0.0007001945754654881,0.165,0.004243603487669625
11,2013,Manganese,Australia,0,0,0.0,0.159,0.0
12,2014,Manganese,Australia,0,0,0.0014106255620992016,0.174,0.00810704346034024
13,2015,Manganese,Australia,0,0,0.0016586201690075265,0.195,0.008505744456448854
14,2016,Manganese,Australia,0,0,5.600782420931083e-05,0.184,0.0003043903489636458
15,2017,Manganese,Australia,0,0,0.0013670920873806473,0.153,0.008935242401180701
16,2002,Iron,Australia,0,0,0.0,0.129,0.0
17,2003,Iron,Australia,0,0,0.0016859730350415319,0.131,0.012870023168255968
18,2004,Iron,Australia,0,0,0.0014859141061499884,0.137,0.010846088366058309
19,2005,Iron,Australia,0,0,0.0,0.151,0.0
20,2006,Iron,Australia,0,0,0.0015660644214660288,0.172,0.009105025706197842
21,2007,Iron,Australia,0,0,0.0011792908440086272,0.186,0.006340273354885093
22,2008,Iron,Australia,0,0,0.000996515791374279,0.198,0.005032908037243833
23,2009,Iron,Australia,0,0,0.0009535163558260311,0.212,0.004497718659556751
24,2010,Iron,Australia,0,0,0.0014320576577446654,0.224,0.00639311454350297
25,2011,Iron,Australia,0,0,0.0014037744246749378,0.249,0.00563764829186722
26,2012,Iron,Australia,0,0,0.0006024241325173149,0.249,0.0024193740261739555
27,2013,Iron,Australia,0,0,0.0005144339064779459,0.26,0.0019785919479920993
28,2014,Iron,Australia,0,0,0.0005481115585472671,0.263,0.002084074367099875
29,2015,Iron,Australia,0,0,0.00015728248251323522,0.254,0.0006192223720993512
30,2016,Iron,Australia,0,0,8.887061813715413e-05,0.24,0.0003702942422381422
31,2017,Iron,Australia,0,0,4.109970099686964e-05,0.228,0.00018026184647749842
32,2002,Copper,Australia,0,0,0.0,0.148,0.0
33,2003,Copper,Australia,0,0,0.0,0.16,0.0
34,2004,Copper,Australia,0,0,7.007025188049012e-07,0.168,4.170848326219649e-06
35,2005,Copper,Australia,0,0,0.0,0.156,0.0
36,2006,Copper,Australia,0,0,5.382987783132612e-08,0.156,3.450633194315777e-07
37,2007,Copper,Australia,0,0,1.2747804590832835e-06,0.157,8.119620758492252e-06
38,2008,Copper,Australia,0,0,2.1411932830138791e-07,0.148,1.4467522182526212e-06
39,2009,Copper,Australia,0,0,0.0,0.147,0.0
40,2010,Copper,Australia,0,0,8.48182557359954e-06,0.143,5.9313465549647145e-05
41,2011,Copper,Australia,0,0,0.0,0.139,0.0
42,2012,Copper,Australia,0,0,0.00017518195243449412,0.137,0.0012787003827335337
43,2013,Copper,Australia,0,0,9.789319736026431e-11,0.132,7.416151315171539e-10
44,2014,Copper,Australia,0,0,1.2132044742172451e-06,0.13,9.332342109363424e-06
45,2015,Copper,Australia,0,0,0.0016217359993587293,0.123,0.0131848455232417
46,2016,Copper,Australia,0,0,0.0022443004106262494,0.111,0.0202189226182545
47,2017,Copper,Australia,0,0,0.0014392200133121753,0.113,0.01273646029479801
48,2002,Barytes,Australia,0,0,0.013494755305671596,0.242,0.055763451676328915
49,2003,Barytes,Australia,0,0,0.060241913262803926,0.283,0.21286895145867113
50,2004,Barytes,Australia,0,0,0.025115794982055423,0.266,0.0944202818874264
51,2005,Barytes,Australia,0,0,0.051777130539423157,0.298,0.17374876019940658
52,2006,Barytes,Australia,0,0,0.051305124435750034,0.302,0.1698845179991723
53,2007,Barytes,Australia,0,0,0.07518884398767928,0.326,0.23064062572907754
54,2008,Barytes,Australia,0,0,0.05669399213109667,0.311,0.18229579463375134
55,2009,Barytes,Australia,0,0,0.04868709373919656,0.236,0.20630124465761254
56,2010,Barytes,Australia,0,0,0.06269932529305408,0.263,0.23840047639944517
57,2011,Barytes,Australia,0,0,0.08978293108429558,0.266,0.33752981610637434
58,2012,Barytes,Australia,0,0,0.10018368571538021,0.247,0.4056019664590292
59,2013,Barytes,Australia,0,0,0.07711961030425069,0.2,0.38559805152125337
60,2014,Barytes,Australia,0,0,0.08914341028339315,0.24,0.3714308761808048
61,2015,Barytes,Australia,0,0,0.0847358786983957,0.216,0.39229573471479495
62,2016,Barytes,Australia,0,0,0.06744238135288873,0.214,0.3151513147331249
63,2002,Bismuth,Australia,0,0,0.021435297515902698,0.087,0.24638273006784714
64,2003,Bismuth,Australia,0,0,0.043421783295995525,0.091,0.47716245380214867
65,2004,Bismuth,Australia,0,0,0.045718935493668636,0.12,0.3809911291139053
66,2005,Bismuth,Australia,0,0,0.060406953452614896,0.124,0.48715285042431367
67,2006,Bismuth,Australia,0,0,0.025878387512356237,0.109,0.23741639919592877
68,2007,Bismuth,Australia,0,0,0.036384272173941634,0.108,0.3368914090179781
69,2008,Bismuth,Australia,0,0,0.040392253418593,0.115,0.35123698624863475
70,2009,Bismuth,Australia,0,0,0.05072281068160754,0.126,0.4025619895365678
71,2010,Bismuth,Australia,0,0,0.06084364531367971,0.134,0.4540570545796993
72,2011,Bismuth,Australia,0,0,0.05695107408720931,0.132,0.43144753096370686
73,2012,Bismuth,Australia,0,0,0.10150807402071554,0.201,0.5050152936354007
74,2013,Bismuth,Australia,0,0,0.06349366460640057,0.124,0.5120456823096821
75,2014,Bismuth,Australia,0,0,0.0609074375993137,0.118,0.5161647254179127
76,2015,Bismuth,Australia,0,0,0.06371118606182079,0.127,0.5016628823765417
77,2016,Bismuth,Australia,0,0,0.06606352353452147,0.133,0.4967182220640711
78,2002,Gold,Australia,0,0,2.675775266295328e-05,0.076,0.0003520756929335958
79,2003,Gold,Australia,0,0,3.859431014245532e-05,0.072,0.0005360320853118795
80,2004,Gold,Australia,0,0,2.4585859598763788e-05,0.07,0.0003512265656966255
81,2005,Gold,Australia,0,0,1.867524252989872e-05,0.067,0.0002787349631328167
82,2006,Gold,Australia,0,0,2.2682990589682656e-05,0.067,0.00033855209835347244
83,2007,Gold,Australia,0,0,1.9427696820775207e-05,0.066,0.0002943590427390183
84,2008,Gold,Australia,0,0,2.8928760800085096e-05,0.064,0.00045201188750132964
85,2009,Gold,Australia,0,0,2.609181623977318e-05,0.061,0.00042773469245529805
86,2010,Gold,Australia,0,0,2.05893358410395e-05,0.059,0.00034897179391592373
87,2011,Gold,Australia,0,0,1.344660930085567e-05,0.058,0.00023183809139406327
88,2012,Gold,Australia,0,0,0.0,0.059,0.0
89,2013,Gold,Australia,0,0,0.0,0.057,0.0
90,2014,Gold,Australia,0,0,7.771167562273768e-06,0.057,0.00013633627302234679
91,2015,Gold,Australia,0,0,0.0,0.056,0.0
92,2016,Gold,Australia,0,0,1.0312102034942221e-05,0.056,0.0001841446791953968
93,2002,Molybdenum,Australia,0,0,0.08967203087195254,0.188,0.4769788876167688
94,2003,Molybdenum,Australia,0,0,0.06926973390350069,0.19,0.36457754686052996
